INFO:root:K: 0.01, Steps: 5, PSNR: 44.18537262207945, MSE: 2303220.3991627735
INFO:root:K: 0.01, Steps: 10, PSNR: 44.14629615348824, MSE: 2309614.322264941
INFO:root:K: 0.01, Steps: 50, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.01, Steps: 100, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.01, Steps: 150, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.01, Steps: 200, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.02, Steps: 5, PSNR: 44.18537262207945, MSE: 2303220.3991627735
INFO:root:K: 0.02, Steps: 10, PSNR: 44.14629615348824, MSE: 2309614.322264941
INFO:root:K: 0.02, Steps: 50, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.02, Steps: 100, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.02, Steps: 150, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.02, Steps: 200, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.05, Steps: 5, PSNR: 44.18537262207945, MSE: 2303220.3991627735
INFO:root:K: 0.05, Steps: 10, PSNR: 44.14629615348824, MSE: 2309614.322264941
INFO:root:K: 0.05, Steps: 50, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.05, Steps: 100, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.05, Steps: 150, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.05, Steps: 200, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.1, Steps: 5, PSNR: 44.18537262207945, MSE: 2303220.3991627735
INFO:root:K: 0.1, Steps: 10, PSNR: 44.14629615348824, MSE: 2309614.322264941
INFO:root:K: 0.1, Steps: 50, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.1, Steps: 100, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.1, Steps: 150, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.1, Steps: 200, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.2, Steps: 5, PSNR: 44.18537262207945, MSE: 2303220.3991627735
INFO:root:K: 0.2, Steps: 10, PSNR: 44.14629615348824, MSE: 2309614.322264941
INFO:root:K: 0.2, Steps: 50, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.2, Steps: 100, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.2, Steps: 150, PSNR: 44.16188107787066, MSE: 2327686.3615018344
INFO:root:K: 0.2, Steps: 200, PSNR: 44.16188107787066, MSE: 2327686.3615018344
