2024-04-23 15:02:34,355 - PSNR_Results - INFO - Starting denoising process from main.py...
2024-04-23 15:02:34,374 - PSNR_Results - INFO - wavelet_denoising: PSNR = 25.278232283710334, MSE = 192.86664797242992
2024-04-23 15:02:34,382 - PSNR_Results - INFO - gaussian_denoising: PSNR = 33.151251508689704, MSE = 31.474236947791166
2024-04-23 15:02:52,769 - PSNR_Results - INFO - perona_malik_f1_denoising with K=0.01 and steps=5: Best PSNR = 44.25088718010079, Best MSE = 2.443383534136546
2024-04-23 15:03:01,119 - PSNR_Results - INFO - perona_malik_f2_denoising with K=0.01 and steps=5: Best PSNR = 44.55612402581142, Best MSE = 2.277550200803213
2024-04-23 15:03:01,152 - PSNR_Results - INFO - wavelet_denoising: PSNR = 31.69125445605266, MSE = 44.05091312437496
2024-04-23 15:03:01,159 - PSNR_Results - INFO - gaussian_denoising: PSNR = 34.01627835222297, MSE = 25.7900702811245
2024-04-23 15:03:17,965 - PSNR_Results - INFO - perona_malik_f1_denoising with K=0.01 and steps=5: Best PSNR = 45.30233576759228, Best MSE = 1.9179919678714858
2024-04-23 15:03:23,670 - PSNR_Results - INFO - perona_malik_f2_denoising with K=0.01 and steps=5: Best PSNR = 45.508223147429376, Best MSE = 1.829186746987952
2024-04-23 15:03:23,670 - PSNR_Results - INFO - Starting denoising process from main_contrast.py...
2024-04-23 15:03:23,682 - PSNR_Results - INFO - wavelet_denoising: PSNR = 20.722184902147, MSE = 550.6325373542596
2024-04-23 15:03:23,684 - PSNR_Results - INFO - gaussian_denoising: PSNR = 28.65250103649219, MSE = 88.68093373493976
2024-04-23 15:03:41,515 - PSNR_Results - INFO - perona_malik_f1_denoising with K=10 and steps=5: Best PSNR = 28.83203015834026, Best MSE = 85.08976907630522
2024-04-23 15:03:47,712 - PSNR_Results - INFO - perona_malik_f2_denoising with K=0.01 and steps=5: Best PSNR = 28.674783150294985, Best MSE = 88.22710843373494
2024-04-23 15:03:47,718 - PSNR_Results - INFO - wavelet_denoising: PSNR = 21.779998048559182, MSE = 431.59912546175946
2024-04-23 15:03:47,720 - PSNR_Results - INFO - gaussian_denoising: PSNR = 28.645124522436454, MSE = 88.83168674698796
2024-04-23 15:04:05,317 - PSNR_Results - INFO - perona_malik_f1_denoising with K=0.5 and steps=5: Best PSNR = 28.65743946538725, Best MSE = 88.58015060240965
2024-04-23 15:04:10,527 - PSNR_Results - INFO - perona_malik_f2_denoising with K=0.01 and steps=5: Best PSNR = 28.65499119587519, Best MSE = 88.63010040160643
2024-04-23 15:04:10,538 - PSNR_Results - INFO - wavelet_denoising: PSNR = 18.049475831385376, MSE = 1018.9028516668565
2024-04-23 15:04:10,540 - PSNR_Results - INFO - gaussian_denoising: PSNR = 28.006516381890776, MSE = 102.90316265060241
2024-04-23 15:04:26,699 - PSNR_Results - INFO - perona_malik_f1_denoising with K=1 and steps=5: Best PSNR = 28.014317600263094, Best MSE = 102.71848393574297
2024-04-23 15:04:31,910 - PSNR_Results - INFO - perona_malik_f2_denoising with K=0.01 and steps=5: Best PSNR = 27.99203645849511, Best MSE = 103.24682730923695
2024-04-23 15:04:31,915 - PSNR_Results - INFO - wavelet_denoising: PSNR = 18.830635520282783, MSE = 851.1709811022963
2024-04-23 15:04:31,917 - PSNR_Results - INFO - gaussian_denoising: PSNR = 28.09419158928501, MSE = 100.84658634538152
2024-04-23 15:04:48,629 - PSNR_Results - INFO - perona_malik_f1_denoising with K=1 and steps=5: Best PSNR = 28.190015264993377, Best MSE = 98.64585341365462
2024-04-23 15:04:53,866 - PSNR_Results - INFO - perona_malik_f2_denoising with K=0.01 and steps=5: Best PSNR = 28.12069840579811, Best MSE = 100.23295180722891
2024-04-23 15:04:53,867 - PSNR_Results - INFO - Starting denoising process from main_varying_k.py...
2024-04-23 15:04:53,955 - PSNR_Results - INFO - K = 0.01: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,037 - PSNR_Results - INFO - K = 0.02: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,144 - PSNR_Results - INFO - K = 0.05: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,232 - PSNR_Results - INFO - K = 0.1: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,323 - PSNR_Results - INFO - K = 0.2: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,409 - PSNR_Results - INFO - K = 0.5: psnr_f1 = 41.75568528576835, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,492 - PSNR_Results - INFO - K = 1: psnr_f1 = 32.939294790853275, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,572 - PSNR_Results - INFO - K = 2: psnr_f1 = 30.22062041441576, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,653 - PSNR_Results - INFO - K = 3: psnr_f1 = 28.872590966939544, psnr_f2 = 45.50395826860473
2024-04-23 15:04:54,734 - PSNR_Results - INFO - K = 10: psnr_f1 = 27.844902054136547, psnr_f2 = 38.44863805768651
2024-04-23 15:04:55,212 - PSNR_Results - INFO - K = 0.01: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,297 - PSNR_Results - INFO - K = 0.02: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,414 - PSNR_Results - INFO - K = 0.05: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,515 - PSNR_Results - INFO - K = 0.1: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,603 - PSNR_Results - INFO - K = 0.2: psnr_f1 = 40.80870745280775, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,691 - PSNR_Results - INFO - K = 0.5: psnr_f1 = 40.7863561023974, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,773 - PSNR_Results - INFO - K = 1: psnr_f1 = 32.47961504039397, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,857 - PSNR_Results - INFO - K = 2: psnr_f1 = 30.069274357480058, psnr_f2 = 44.575984518158435
2024-04-23 15:04:55,940 - PSNR_Results - INFO - K = 3: psnr_f1 = 29.113140767223122, psnr_f2 = 44.575984518158435
2024-04-23 15:04:56,024 - PSNR_Results - INFO - K = 10: psnr_f1 = 27.87857844570286, psnr_f2 = 37.98491933586159
2024-04-23 15:04:56,091 - PSNR_Results - INFO - Starting denoising process from main_varing_delt.py...
2024-04-23 15:04:56,211 - PSNR_Results - INFO - del_t = 0.001: psnr_f1 = 45.50395826860473, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,307 - PSNR_Results - INFO - del_t = 0.005: psnr_f1 = 45.48231731873411, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,400 - PSNR_Results - INFO - del_t = 0.01: psnr_f1 = 45.28520533472645, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,489 - PSNR_Results - INFO - del_t = 0.05: psnr_f1 = 41.24514026007101, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,577 - PSNR_Results - INFO - del_t = 0.1: psnr_f1 = 41.77496700026165, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,671 - PSNR_Results - INFO - del_t = 0.2: psnr_f1 = 41.05366572260773, psnr_f2 = 45.50395826860473
2024-04-23 15:04:56,828 - PSNR_Results - INFO - del_t = 0.001: psnr_f1 = 44.575984518158435, psnr_f2 = 44.575984518158435
2024-04-23 15:04:56,920 - PSNR_Results - INFO - del_t = 0.005: psnr_f1 = 44.51974799459499, psnr_f2 = 44.575984518158435
